Symptoms,Disease
"vomiting, headache, nausea, spinning movements, unsteadiness",Urinary tract infection
"vomiting, sunken eyes, diarrhoea,",AIDS
"vomiting, breathlessness, chest pain,",(vertigo) Paroymsal  Positional Vertigo
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Diabetes
"itching, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Common Cold
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption,",Dengue
"itching, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Bronchial Asthma
"chills, vomiting, fatigue, weight loss, cough, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Dimorphic hemmorhoids(piles)
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload,",Hypothyroidism
"chest pain, dizziness, loss of balance, lack of concentration",Typhoid
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,","Chronic cholestasis,"
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Osteoarthristis
"continuous sneezing, shivering, chills, watering from eyes",Pneumonia
"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, muscle weakness, irritability, abnormal menstruation,",Heart attack
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Jaundice
"skin rash, joint pain, silver like dusting, small dents in nails, inflammatory nails",Cervical spondylosis
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Varicose veins
"itching, fatigue, weight loss, high fever, yellowish skin, dark urine, abdominal pain",Cervical spondylosis
"patches in throat, high fever, extra marital contacts,",Gastroenteritis
"vomiting, breathlessness, sweating,",Migraine
"headache, chest pain, dizziness, loss of balance, lack of concentration",Malaria
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Peptic ulcer diseae
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Osteoarthristis
"continuous sneezing, chills, fatigue, cough, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Migraine
"skin rash, joint pain, silver like dusting, small dents in nails, inflammatory nails",Osteoarthristis
"chills, vomiting, fatigue, weight loss, cough, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Pneumonia
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,",Gastroenteritis
"constipation, pain during bowel movements, pain in anal region, bloody stool",Alcoholic hepatitis
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,",Paralysis (brain hemorrhage)
"itching, skin rash, dischromic  patches,","Chronic cholestasis,"
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Dengue
"headache, chest pain, dizziness, lack of concentration",Migraine
"continuous sneezing, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Allergy
"joint pain, knee pain, hip joint pain, swelling joints, painful walking",Dengue
"cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Migraine
"stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain,",Hypoglycemia
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Pneumonia
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Typhoid
"continuous sneezing, shivering, watering from eyes,",Tuberculosis
"chills, vomiting, high fever, sweating, headache, nausea, muscle pain",Allergy
"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, muscle pain, red spots over body",Jaundice
"vomiting, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Urinary tract infection
"chills, fatigue, cough, high fever, breathlessness, sweating, phlegm, chest pain, fast heart rate, rusty sputum,",Pneumonia
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Gastroenteritis
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Allergy
"itching, nodal skin eruptions, dischromic  patches,",Tuberculosis
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Bronchial Asthma
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Fungal infection
"chills, fatigue, cough, high fever, breathlessness, sweating, phlegm, chest pain, fast heart rate, rusty sputum,","Chronic cholestasis,"
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Hypertension
"vomiting, fatigue, anxiety, sweating, headache, nausea, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Chicken pox
"constipation, pain during bowel movements, pain in anal region, bloody stool",Cervical spondylosis
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain","Chronic cholestasis,"
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Allergy
"joint pain, vomiting, fatigue, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Urinary tract infection
"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Osteoarthristis
"vomiting, breathlessness, chest pain,",Hepatitis B
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Heart attack
"constipation, pain during bowel movements, pain in anal region, bloody stool",(vertigo) Paroymsal  Positional Vertigo
"itching, stomach pain, burning micturition, spotting  urination",Tuberculosis
"breathlessness, sweating, chest pain,",Jaundice
"vomiting, weakness of one body side, altered sensorium,",Paralysis (brain hemorrhage)
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Hypoglycemia
"headache, dizziness, loss of balance, lack of concentration",GERD
"itching, skin rash, dischromic  patches,",Cervical spondylosis
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Hepatitis E
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Allergy
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Heart attack
"constipation, pain during bowel movements, pain in anal region, bloody stool",Dimorphic hemmorhoids(piles)
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Typhoid
"joint pain, neck pain, hip joint pain, swelling joints, painful walking",Dimorphic hemmorhoids(piles)
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Hepatitis E
"vomiting, headache, nausea, spinning movements, unsteadiness",Malaria
"fatigue, mood swings, weight loss, restlessness, sweating, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Hypothyroidism
"vomiting, breathlessness, chest pain,",Bronchial Asthma
"vomiting, fatigue, anxiety, sweating, headache, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",hepatitis A
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Hypertension
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Dengue
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Hypothyroidism
"vomiting, sweating, chest pain,",Hepatitis D
"muscle wasting, high fever, extra marital contacts,",Jaundice
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Dengue
"stomach pain, acidity, ulcers on tongue, cough, chest pain",Chicken pox
"breathlessness, sweating, chest pain,",Hypothyroidism
"chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain,","Chronic cholestasis,"
"itching, skin rash, stomach pain, burning micturition",Impetigo
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",AIDS
"continuous sneezing, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Paralysis (brain hemorrhage)
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",hepatitis A
"weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Fungal infection
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Dimorphic hemmorhoids(piles)
"shivering, chills, watering from eyes,",Common Cold
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Varicose veins
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Fungal infection
"chest pain, dizziness, loss of balance, lack of concentration",Gastroenteritis
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",hepatitis A
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Tuberculosis
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Hepatitis D
"vomiting, weakness of one body side, altered sensorium,",Acne
"fatigue, nausea, loss of appetite, yellowing of eyes, family history",Drug Reaction
"cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Varicose veins
"itching, skin rash, burning micturition, spotting  urination",Chicken pox
"neck pain, knee pain, hip joint pain, swelling joints, painful walking",Migraine
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Acne
"chills, vomiting, fatigue, weight loss, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Fungal infection
"continuous sneezing, chills, fatigue, cough, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Cervical spondylosis
"itching, skin rash, stomach pain, burning micturition, spotting  urination","Chronic cholestasis,"
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Cervical spondylosis
"joint pain, neck pain, knee pain, swelling joints, painful walking",Typhoid
"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Hepatitis E
"chest pain, dizziness, loss of balance, lack of concentration",Malaria
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Hypoglycemia
"weakness in limbs, neck pain, dizziness, loss of balance",Bronchial Asthma
